Date,Time,NO,NO2,CO,CO 8hr,O3,O3 8hr,PM2.5,PM10,Wind Speed,Wind Dir,Temperature,RH,Solar Rad,BP,Rain,V Wind Speed
12/16/2013,19:00,65.72,35.3,3.89,1.9,3.83,17.03,110.67,255.88,1.19,63.72,21.34,70.21,7.67,,,
07/02/2013,24:00:00,4.57,9.58,1.27,1.47,4.41,5.47,14.85,23.74,4.63,84.39,26.74,93.04,6.72,1080.72,0.01,1.98
7/16/2013,11:00,1.54,0.41,1.13,1.23,7.17,5.48,9.0,16.91,3.46,124.96,30.71,76.73,799.3,1082.09,0.01,1.44
4/23/2018,15:00,6.31,4.79,,,,,,,1.6,162.67,31.74,60.83,613.42,1006.25,,
12/14/2016,19:00,1.69,21.92,3.88,3.12,8.97,25.76,108.32,206.16,0.46,257.22,21.81,84.41,8.13,1010.93,,
10/19/2013,23:00,2.43,7.37,3.29,2.17,4.33,6.87,,,1.61,322.75,28.94,78.73,7.22,1092.14,0.01,1.16
5/19/2017,19:00,3.08,5.94,,,,35.58,17.28,43.0,0.77,63.42,28.93,79.0,14.79,1003.3,0.03,
11/20/2018,17:00,,,0.48,,5.38,,56.13,121.82,0.39,186.79,25.18,58.48,54.54,1011.77,0.04,
8/31/2014,08:00,5.72,9.72,1.59,1.5,6.9,6.85,,,1.71,124.08,28.05,76.39,278.29,1004.37,,
5/17/2017,24:00:00,3.56,4.98,,,7.28,,29.76,60.81,1.48,148.19,28.73,82.72,8.15,1002.39,,
03/01/2015,13:00,3.22,11.27,2.69,2.61,31.83,16.14,65.25,,2.32,208.46,30.51,48.29,550.21,1011.94,0.02,
04/10/2017,13:00,2.88,3.49,,,42.47,28.94,46.41,,1.93,204.48,29.69,67.12,710.45,1007.44,0.03,
12/12/2012,12:00,4.59,8.24,5.83,5.74,3.16,3.42,74.74,132.76,4.16,214.0,21.26,70.79,413.33,1096.14,0.03,1.4
03/08/2013,07:00,6.66,13.24,2.4,2.96,10.22,6.24,115.03,162.47,3.77,193.8,19.54,73.69,41.4,1095.76,0.03,1.34
06/03/2017,02:00,4.13,0.71,,5.01,,,33.0,57.88,0.83,80.71,19.44,87.24,8.16,1007.88,,
2/17/2013,08:00,6.8,8.7,1.67,1.71,9.58,12.72,52.12,90.25,2.3,97.95,21.51,69.7,32.19,1090.25,,1.18
11/06/2015,16:00,5.17,7.7,1.8,1.83,37.32,20.48,31.03,70.94,2.52,144.83,29.5,52.18,348.49,1008.73,,
8/28/2017,05:00,3.12,1.57,,,,,,,4.79,2.9,24.56,96.09,7.37,1003.43,,
07/06/2015,07:00,5.13,5.82,4.89,5.91,,0.08,19.87,15.06,0.61,55.9,25.39,96.37,159.87,999.55,0.04,
27/06/2019,23:00,11.27,20.03,0.64,0.7,1.51,2.32,31.69,55.52,0.81,72.75,25.83,95.0,7.91,999.62,0.33,
8/28/2017,01:00,4.39,2.71,,,,,53.0,98.0,0.42,235.4,28.88,90.68,7.9,1001.92,0.03,
05/06/2013,01:00,,,2.92,3.17,17.12,17.07,11.97,24.1,3.72,127.39,22.53,98.85,6.91,1090.48,4.13,2.45
1/24/2014,17:00,0.19,6.79,0.9,0.99,27.35,21.68,54.32,114.8,3.25,212.12,27.27,47.3,98.79,,,
07/08/2014,12:00,2.23,8.75,1.15,0.73,12.98,7.42,19.37,48.38,5.77,,25.03,88.93,33.42,1001.17,3.81,
11/28/2014,02:00,20.96,21.09,1.29,2.72,0.31,0.55,87.8,162.03,1.51,40.49,18.59,81.55,7.36,1010.35,,
10/11/2014,02:00,4.79,15.7,2.64,2.76,5.73,10.69,,,2.09,117.88,27.43,82.24,7.28,1006.54,0.02,
2/28/2013,19:00,4.97,13.49,2.17,1.86,20.36,41.09,39.99,120.62,2.71,33.51,26.4,41.33,7.83,1088.78,,1.2
10/28/2013,19:00,0.1,7.25,2.67,1.84,6.61,10.91,48.88,78.76,1.5,229.31,26.9,79.47,7.3,1088.8,0.03,2.38
2/21/2013,03:00,11.73,14.81,2.19,2.46,4.8,9.22,110.89,152.25,2.9,212.74,18.07,89.13,7.7,1093.0,,2.26
16/03/2019,16:00,3.48,8.51,0.31,0.48,49.32,42.7,29.07,96.14,6.4,245.16,31.81,39.9,434.82,1009.71,0.02,
12/30/2012,12:00,3.82,5.81,6.29,6.43,9.48,4.88,92.68,133.93,3.51,293.54,15.91,85.3,551.26,1095.87,0.01,1.57
9/27/2014,07:00,2.91,9.71,1.88,1.92,10.08,12.17,8.96,13.28,1.36,74.61,23.76,95.08,30.33,1010.13,,
03/03/2013,04:00,6.3,9.42,2.41,2.71,6.95,8.22,125.98,173.01,0.76,80.62,19.83,86.85,7.99,1093.25,0.01,1.08
01/06/2015,02:00,6.89,15.64,2.0,1.98,2.75,8.35,101.44,127.47,1.31,223.94,15.97,92.18,7.64,1013.25,,
1/23/2013,11:00,5.28,11.08,1.31,1.47,14.07,4.32,122.19,215.95,6.27,232.81,21.72,62.9,580.52,1100.43,0.03,
9/21/2017,22:00,21.36,8.22,,,2.89,,49.62,78.31,0.45,86.02,27.44,92.15,8.0,1005.68,,
03/11/2013,24:00:00,,,3.56,3.27,7.66,20.53,251.5,470.95,3.82,207.19,24.55,68.37,7.21,1092.03,0.04,1.31
14/05/2019,11:00,3.78,4.42,0.31,0.25,35.86,,8.0,25.0,3.74,76.64,28.34,68.42,907.42,1008.15,,
03/04/2019,11:00,4.42,9.09,0.19,0.11,24.06,15.23,11.96,49.25,2.07,83.2,26.41,58.78,799.7,1012.79,0.03,
04/03/2018,21:00,19.53,20.91,,,,,,,0.38,140.8,26.93,68.3,8.04,1007.26,,
12/22/2013,15:00,5.5,6.29,0.13,0.18,25.43,16.82,70.22,118.27,2.53,143.18,25.06,54.37,330.86,,,
01/10/2014,17:00,2.82,10.12,1.0,0.83,24.6,19.64,87.33,134.28,3.02,230.52,23.42,62.28,72.66,,0.02,
12/12/2012,23:00,14.68,9.65,6.33,6.32,2.04,2.17,81.1,155.55,2.72,220.31,20.32,73.81,7.36,1095.86,0.02,1.23
19/02/2016,14:00,,,5.07,5.03,,0.22,,,2.1,201.06,29.14,50.15,537.92,1009.89,,
31/03/2019,11:00,5.2,12.58,0.68,0.59,2.33,2.29,25.0,36.0,0.27,308.05,22.73,90.46,77.68,1010.12,0.02,
1/20/2013,19:00,5.38,13.72,1.96,1.24,4.69,12.27,122.13,239.71,1.75,53.6,23.09,68.75,8.04,1096.3,0.01,1.11
07/02/2017,21:00,4.49,3.87,,,,,17.88,38.22,3.29,52.96,27.68,89.18,7.29,999.82,0.02,
12/16/2018,24:00:00,151.78,18.59,3.32,2.77,,,139.41,237.0,0.32,187.98,21.06,87.88,7.72,1016.81,,
7/23/2015,16:00,2.27,8.18,7.4,6.31,0.05,0.58,22.78,,2.92,62.88,26.75,92.27,98.86,1003.64,6.03,
7/21/2015,14:00,4.5,7.73,6.32,6.13,0.91,0.42,14.0,25.0,1.72,54.55,31.89,62.55,696.63,1000.95,,
4/21/2014,12:00,,,2.3,2.53,9.3,6.5,68.0,,3.01,198.44,36.52,32.58,907.01,,0.02,
8/25/2016,11:00,2.12,7.79,1.22,1.44,37.9,15.24,40.1,80.41,1.39,198.69,33.89,65.07,605.88,1003.61,,
4/15/2017,06:00,2.54,4.78,,,,,64.06,,0.57,48.31,24.89,84.3,14.16,1007.58,,
4/26/2015,20:00,,12.7,3.75,3.32,,2.28,53.5,155.09,0.68,233.64,26.57,71.84,7.68,1010.24,,
3/19/2015,05:00,0.11,19.56,3.12,4.35,,,75.9,118.91,1.97,61.49,21.75,70.4,7.15,1009.88,,
06/07/2013,17:00,4.67,8.72,0.76,0.69,8.52,12.18,21.97,24.92,2.56,153.12,28.1,88.15,134.48,1081.35,0.02,1.44
01/01/2019,06:00,3.49,6.91,0.39,,,,18.78,46.33,1.62,54.63,14.84,72.19,7.98,1017.36,0.05,
12/11/2017,04:00,2.45,3.47,,,,,,,0.89,52.08,21.2,99.37,7.48,1009.74,2.65,
06/10/2013,11:00,2.68,2.95,0.81,0.68,11.56,7.74,13.66,28.97,2.49,245.69,29.19,83.98,341.28,1080.88,0.03,2.34
11/20/2013,22:00,15.97,29.07,2.46,1.69,3.14,8.01,111.44,185.81,2.39,306.69,23.01,73.03,7.35,,0.02,
05/01/2014,23:00,18.39,17.72,3.77,3.31,,0.05,,152.09,1.4,281.2,27.04,82.08,7.23,,,
5/21/2018,02:00,2.33,5.35,,,,,17.91,44.0,0.45,105.88,25.84,82.2,8.11,1005.35,,
11/05/2013,06:00,,3.48,1.72,2.45,5.43,5.78,64.77,90.9,2.7,28.11,21.54,89.77,7.79,,0.02,
01/08/2014,21:00,4.42,18.66,2.28,1.17,7.21,17.15,159.97,197.56,1.39,244.58,17.84,85.08,7.77,,,
04/10/2017,21:00,8.59,15.05,,,5.61,35.43,86.0,,0.38,99.44,27.2,81.16,8.01,1004.51,0.05,
12/05/2016,21:00,62.69,29.31,6.06,5.02,0.48,12.86,154.15,278.69,0.27,340.26,22.43,77.8,8.2,1014.03,,
4/30/2014,20:00,0.53,22.79,4.39,2.93,,3.15,,124.84,1.97,350.7,32.48,51.05,6.96,,,
02/08/2013,04:00,42.52,10.0,2.5,3.13,2.59,4.28,167.39,230.62,2.64,202.76,20.6,84.7,7.66,1092.17,,1.24
11/17/2018,18:00,,,0.75,0.9,3.44,5.32,75.1,155.94,0.77,52.12,24.66,80.03,7.86,1008.63,0.03,
8/15/2017,10:00,3.33,2.22,,,,,17.25,24.25,0.87,219.07,25.6,97.48,80.78,1004.7,4.11,
11/02/2017,11:00,4.65,0.14,,4.42,,,76.06,160.37,2.12,79.58,23.66,55.83,569.29,1016.87,0.02,
7/18/2016,06:00,2.67,3.03,0.62,0.65,10.9,11.77,,16.71,4.76,169.61,25.38,91.8,9.43,1004.14,0.11,
01/12/2019,01:00,15.18,15.54,1.2,1.51,,,83.1,163.71,0.45,66.13,17.1,78.11,8.09,1015.24,,
12/04/2012,17:00,2.9,1.64,5.61,5.43,3.51,2.96,38.54,100.06,3.3,39.77,26.05,59.9,55.78,1091.61,0.02,1.31
6/13/2015,05:00,5.34,4.4,3.63,4.08,1.12,0.83,29.52,37.73,1.83,234.83,25.69,96.6,6.82,1001.48,0.02,
9/27/2018,18:00,2.88,10.09,,,,,38.35,77.64,0.48,185.39,28.92,82.92,21.55,1005.74,0.03,
7/16/2017,21:00,3.36,4.05,,,,,,67.75,2.2,271.72,31.01,78.52,7.46,997.99,,
10/29/2013,14:00,,2.9,1.59,1.69,20.57,10.06,38.21,65.22,3.17,223.01,28.98,66.35,522.81,1091.76,0.02,1.69
08/10/2015,19:00,2.47,10.7,8.85,8.53,0.19,0.85,23.0,53.0,1.66,21.12,27.78,85.66,8.25,1000.43,,
06/06/2017,24:00:00,,,,,,,98.0,,0.45,137.88,28.74,85.79,7.41,1003.29,,
10/01/2013,14:00,0.49,5.89,1.35,1.31,11.67,7.73,32.18,87.85,2.37,278.18,32.85,63.84,657.64,1086.19,0.04,2.43
12/17/2016,18:00,23.13,22.44,4.92,3.33,2.66,17.93,,133.0,0.38,136.43,24.81,64.05,8.63,1010.32,,
12/07/2015,08:00,179.98,20.51,3.01,3.01,4.96,1.53,33.13,60.34,3.13,43.82,18.69,77.08,152.66,1015.64,0.02,
08/03/2016,16:00,2.81,4.72,0.88,0.88,18.94,18.73,6.0,34.0,3.17,179.35,35.36,53.52,615.99,995.11,,
12/08/2013,07:00,6.25,6.76,0.99,1.17,5.44,4.48,18.0,40.6,3.9,36.4,19.8,70.38,17.13,,0.02,
3/29/2013,21:00,6.35,15.21,3.16,2.79,19.78,37.44,111.2,198.37,2.27,67.7,28.46,56.9,7.61,1087.41,0.01,1.23
03/06/2014,23:00,107.3,35.86,6.3,3.74,2.51,14.18,263.54,541.66,0.72,193.48,21.34,73.59,7.83,,,
6/30/2018,14:00,16.78,4.91,,,,,,,0.61,246.53,28.71,78.06,432.9,1001.38,,
07/11/2015,17:00,4.89,5.91,5.35,5.24,1.7,1.93,22.0,69.0,2.81,232.45,33.38,58.81,344.48,1000.07,0.03,
12/01/2013,09:00,7.48,7.24,1.15,1.15,8.58,4.95,60.93,92.94,3.99,44.74,22.68,76.53,325.44,,0.02,
03/05/2016,20:00,,,,,,,,,2.22,29.31,26.45,64.41,7.35,1009.57,,
09/05/2019,17:00,5.49,13.68,0.45,0.33,23.39,24.97,42.08,111.43,0.42,97.76,33.02,66.02,162.12,999.7,0.03,
08/03/2013,13:00,2.1,1.01,1.5,1.57,10.2,4.96,8.03,21.03,3.55,247.72,31.32,71.34,961.84,1082.41,0.05,2.27
5/25/2018,13:00,2.55,5.95,,,,,,20.0,2.67,28.2,24.59,92.16,85.33,1004.87,3.0,
7/23/2017,01:00,4.59,2.96,,,,,8.0,18.0,0.75,53.78,26.81,95.65,7.54,1000.94,0.14,
11/10/2013,12:00,0.07,4.07,1.68,1.71,17.01,8.23,,,1.98,48.85,30.77,44.22,739.61,,0.02,
6/18/2018,10:00,2.24,3.88,,,,,25.16,55.93,2.58,222.26,24.81,88.63,34.52,1002.05,8.78,
6/15/2018,17:00,2.14,5.49,,,,,53.13,100.18,1.37,60.77,26.43,86.23,133.16,998.19,0.03,
7/31/2018,03:00,2.46,3.25,,,,,11.87,25.73,0.38,350.36,25.66,95.52,7.34,998.62,2.42,
4/20/2018,13:00,2.06,5.69,,,,,20.0,43.97,2.9,58.05,26.93,71.3,448.8,1007.48,,
19/04/2019,05:00,5.02,11.53,0.44,0.74,4.52,6.05,69.13,120.49,0.5,65.79,23.97,87.58,8.03,1007.0,,
06/12/2016,12:00,3.58,7.69,0.82,0.76,,,13.96,,2.35,96.24,26.29,82.29,152.03,1002.11,0.04,
11/24/2014,02:00,31.28,20.82,1.63,2.72,1.1,0.92,186.24,261.11,1.61,59.0,19.42,86.86,7.52,1012.33,,
1/24/2015,03:00,22.31,22.93,2.72,3.52,0.3,2.14,173.34,244.75,1.42,104.44,16.94,90.27,7.49,1014.62,,
09/02/2017,11:00,3.11,1.61,,,,,,,5.62,128.83,28.68,79.04,472.08,1004.4,0.04,
09/02/2014,17:00,166.21,15.64,1.71,1.62,14.71,16.55,6.0,39.0,2.73,236.47,32.03,64.98,81.96,1002.0,0.02,
5/26/2015,22:00,5.9,11.7,4.13,4.1,0.43,2.62,31.65,66.73,2.83,54.25,25.02,84.29,6.96,1005.69,,
12/20/2016,22:00,149.4,31.49,8.21,5.46,5.46,15.31,384.65,603.54,0.9,99.53,20.49,92.44,7.69,1012.7,,
12/19/2015,17:00,147.13,21.94,3.63,3.61,42.64,34.1,121.0,191.0,1.06,264.97,21.54,65.0,59.37,1015.12,,
16/01/2016,20:00,123.57,46.57,4.59,4.57,1.06,0.83,,227.34,2.36,40.08,19.76,68.73,7.42,1011.76,,
4/20/2014,05:00,3.22,13.21,2.44,2.74,3.93,7.6,73.41,,1.73,46.41,26.6,74.13,7.23,,,
9/13/2018,15:00,2.58,8.28,,,3.86,3.91,25.81,62.13,0.61,36.83,28.82,81.99,386.13,1003.53,0.02,
13/06/2019,11:00,1.21,5.27,0.4,0.45,2.63,2.51,41.73,66.86,0.4,191.72,33.26,69.24,826.97,1000.28,,
13/05/2019,17:00,4.83,9.36,0.53,0.39,16.31,26.39,37.33,81.1,0.36,352.31,32.19,62.18,160.07,1002.85,0.05,
08/07/2018,14:00,2.77,4.51,,,,,6.03,26.3,0.56,104.51,33.61,57.17,704.49,998.66,,
05/08/2014,23:00,3.21,18.52,3.03,2.99,,,25.0,53.84,3.05,293.11,25.51,85.48,6.77,,0.02,
4/29/2018,21:00,2.49,10.48,,,,,24.22,71.16,0.58,53.65,23.14,85.38,7.79,1006.49,,
12/13/2014,07:00,9.0,8.51,1.05,1.18,2.95,3.27,55.91,64.03,2.0,57.07,14.58,95.75,19.11,1015.41,,
13/05/2019,01:00,10.77,17.43,0.45,0.96,,6.94,78.04,156.63,4.51,335.05,23.76,85.26,6.52,1006.99,1.2,
08/05/2013,08:00,1.79,1.52,1.45,1.56,4.03,4.45,16.6,60.94,4.33,165.93,27.11,91.15,49.77,1085.57,0.47,1.95
26/04/2019,11:00,3.57,8.74,,,32.19,17.56,61.2,119.14,0.6,86.13,32.8,59.54,665.65,1008.14,,
02/05/2014,07:00,0.96,9.05,1.9,2.12,3.72,4.28,150.42,205.35,2.49,44.21,15.34,92.49,12.94,,0.02,
1/19/2015,22:00,6.9,8.38,2.12,2.13,12.06,14.64,,,3.65,223.16,16.28,88.34,6.87,1016.81,0.02,
11/17/2016,23:00,24.85,25.6,3.99,4.35,0.08,6.48,74.1,158.5,0.35,257.81,22.4,81.49,8.06,1012.7,,
28/01/2018,02:00,3.42,11.28,,,,,152.39,,0.4,280.77,13.93,90.11,7.86,1011.45,,
31/01/2016,17:00,55.75,29.87,4.68,4.68,0.39,0.4,,,1.01,83.53,22.01,61.88,63.45,1011.06,,
22/04/2019,17:00,4.6,7.5,0.33,0.31,41.92,38.64,35.94,65.27,0.79,129.47,30.7,52.25,248.53,1004.86,0.02,
7/15/2015,12:00,2.87,6.94,5.33,5.27,3.01,2.15,11.0,25.94,2.19,139.36,25.01,96.6,116.37,998.83,0.61,
12/24/2013,03:00,5.85,13.93,,1.06,5.67,3.13,68.7,108.85,2.39,25.6,17.25,76.91,7.43,,,
8/29/2013,16:00,0.47,3.5,0.52,0.5,3.9,3.99,16.06,,1.95,330.14,29.81,82.49,292.04,1084.74,0.04,1.58
28/01/2016,08:00,50.35,17.11,4.49,4.5,0.56,0.51,,,3.11,43.27,13.76,79.06,65.62,1014.8,,
5/25/2014,14:00,2.72,6.9,0.28,0.34,1.7,0.74,23.0,54.99,3.41,202.98,34.95,53.87,844.46,,0.02,
9/25/2014,01:00,4.89,15.56,2.07,2.34,8.34,9.41,,57.19,1.7,40.89,25.48,88.9,7.28,1006.79,,
08/09/2018,16:00,2.65,5.55,,,11.73,11.19,6.09,35.66,0.83,145.96,32.16,64.18,570.01,1000.79,0.02,
12/06/2019,11:00,3.72,6.81,0.26,0.33,9.6,3.99,23.98,50.0,1.0,217.75,33.37,62.05,732.99,1001.95,0.04,
6/28/2016,04:00,3.85,5.5,0.89,1.05,6.31,5.56,,15.03,2.15,110.34,27.56,87.86,7.02,1003.12,,
04/08/2015,11:00,2.96,10.32,3.26,3.02,,,,,2.63,98.87,28.24,58.32,861.47,1011.13,,
7/30/2018,24:00:00,3.5,3.63,,,,,8.98,21.2,0.46,34.94,26.71,91.44,7.8,999.89,0.05,
08/05/2014,20:00,3.14,10.69,1.47,1.4,6.43,10.26,15.13,41.77,1.82,322.09,26.98,88.94,7.26,1000.77,0.02,
3/21/2015,22:00,0.31,29.76,4.6,3.58,,,144.66,239.42,0.99,239.06,25.26,67.71,7.4,1010.3,,
4/13/2017,21:00,4.27,15.44,,,,,92.77,,0.39,116.81,28.34,68.43,8.23,1008.16,,
7/18/2017,19:00,3.47,4.01,,,,,,50.65,2.56,112.79,24.65,68.2,25.76,997.74,,
8/15/2017,20:00,4.01,3.28,,,,,27.07,45.1,0.52,82.99,27.14,92.82,8.33,1002.03,,
7/28/2014,24:00:00,5.31,14.43,1.8,1.53,3.88,7.09,20.2,51.32,0.81,,29.34,76.69,7.06,1001.31,,
11/18/2018,07:00,,,0.56,1.27,2.9,2.9,46.07,66.29,0.44,68.99,19.63,95.33,24.32,1014.31,0.04,
7/24/2014,11:00,4.51,11.92,1.09,1.07,15.05,8.64,10.97,40.16,2.23,,31.06,64.16,729.45,1002.05,0.04,
9/28/2018,19:00,3.78,14.02,,,,,53.66,100.07,0.34,1.53,29.77,79.81,7.75,1006.53,0.03,
5/15/2017,24:00:00,3.78,7.2,,,8.85,17.31,41.59,81.16,0.75,81.85,27.43,83.51,8.31,1002.13,,
26/05/2019,08:00,5.68,5.03,0.19,0.31,2.98,2.94,,29.83,0.46,62.75,24.7,94.74,136.3,1005.45,0.05,
12/13/2018,03:00,,,1.48,2.3,,,85.52,164.0,0.47,85.44,19.27,85.89,7.93,1014.47,,
7/14/2016,18:00,3.74,8.89,0.83,0.82,17.63,19.65,15.24,,0.69,188.38,31.59,69.02,96.79,997.61,0.03,
3/23/2013,21:00,14.5,28.78,3.87,2.79,6.82,26.27,107.71,184.97,1.38,16.62,27.99,72.7,6.7,1091.25,0.01,1.12
09/11/2018,18:00,2.99,10.24,,,5.45,5.7,16.72,49.44,0.59,197.96,26.97,87.09,36.55,1006.11,,
11/23/2015,24:00:00,106.03,30.07,2.01,1.97,,,137.16,247.0,1.36,14.18,21.09,64.38,7.95,1012.85,,
02/01/2014,12:00,0.18,10.51,1.61,1.48,19.85,8.41,62.49,141.98,2.45,72.16,27.84,38.62,681.8,,,
11/03/2018,16:00,3.11,4.75,,,,,12.03,44.94,2.12,166.33,29.13,62.93,225.72,1010.89,0.03,
10/07/2014,07:00,3.9,8.3,2.36,2.89,4.3,4.17,,45.03,0.95,36.16,27.13,83.64,120.34,1010.21,,
04/10/2014,10:00,2.15,7.81,2.07,1.83,15.64,8.89,27.19,39.44,4.84,57.0,25.96,75.08,695.09,,0.03,
14/01/2017,04:00,4.05,20.91,,4.09,,,152.57,210.44,0.44,118.2,13.23,87.15,8.05,1012.41,,
2/26/2015,07:00,2.34,13.21,2.6,3.59,1.96,0.91,,,1.87,207.88,22.11,88.9,18.61,1008.75,,
4/15/2014,12:00,0.27,9.98,2.69,2.47,17.67,14.34,75.83,152.0,2.08,97.91,34.0,49.16,754.22,,0.02,
03/04/2014,21:00,,21.52,2.95,2.11,6.66,21.65,94.23,145.0,2.42,236.2,23.94,72.78,7.39,,0.02,
04/02/2016,14:00,48.8,8.57,0.44,0.56,40.42,26.15,,,3.06,98.29,28.68,52.96,759.83,1008.65,0.03,
4/22/2018,22:00,3.48,10.84,,,,,26.1,53.5,0.45,65.3,24.5,86.92,7.86,1008.21,0.05,
02/11/2015,02:00,22.19,27.67,3.59,3.36,0.39,3.19,170.09,248.84,1.31,84.75,17.24,87.29,7.3,1014.42,,
11/18/2018,10:00,,,1.04,0.85,2.95,2.91,50.31,88.72,0.57,88.36,23.96,81.41,485.48,1016.33,0.03,
08/02/2017,09:00,3.33,3.14,,,,,10.34,23.38,4.17,43.07,26.33,96.76,29.98,1002.39,1.08,
07/08/2014,07:00,2.33,5.33,0.65,0.67,5.89,6.55,16.97,42.94,6.7,,27.69,84.82,97.06,1000.3,0.02,
12/20/2013,06:00,4.32,6.3,,0.49,7.55,5.05,53.72,86.24,3.99,43.83,16.44,79.91,6.85,,0.03,
7/23/2016,13:00,3.95,4.67,0.73,0.72,8.11,4.35,5.0,29.0,4.5,182.31,28.51,80.31,565.16,1005.47,,
5/26/2015,09:00,1.74,7.98,3.66,3.51,6.91,5.1,37.75,53.26,4.31,39.23,25.13,79.46,372.55,1007.09,0.03,
06/05/2013,20:00,2.94,25.77,1.18,0.98,12.87,24.4,44.87,,1.82,193.23,28.56,85.25,7.09,1082.9,0.04,1.77
25/01/2017,20:00,107.61,25.17,,6.37,,,,560.34,0.42,336.4,22.44,65.46,8.72,1015.57,,
7/13/2017,08:00,3.32,2.0,,,,,5.07,27.88,2.93,214.38,25.16,97.8,47.19,1004.46,2.19,
1/31/2019,08:00,8.04,21.27,0.5,0.96,,,67.97,,0.47,53.41,16.97,71.22,130.92,1017.06,,
11/06/2019,02:00,8.84,7.98,0.37,0.56,1.57,2.46,,44.45,1.44,280.84,26.95,91.97,7.46,1001.26,0.41,
8/29/2014,17:00,2.89,7.42,1.65,1.64,24.6,21.05,16.06,31.25,3.05,250.25,32.83,66.52,219.46,999.57,,
05/11/2016,09:00,63.69,7.31,1.57,1.5,,,,,2.88,63.96,29.82,70.42,481.44,1007.91,0.02,
12/29/2012,22:00,6.3,7.27,7.26,6.68,5.63,10.09,147.21,201.06,1.01,88.06,15.27,90.33,7.86,1094.87,0.02,1.21
22/02/2017,15:00,5.67,0.82,,4.1,,,60.0,133.0,8.54,233.84,28.29,63.42,505.13,1007.46,0.02,
05/04/2018,08:00,2.41,4.87,,,,,17.97,49.97,1.28,90.97,26.14,77.78,429.82,1009.57,,
12/07/2014,12:00,8.15,9.35,1.0,1.1,13.13,4.32,34.19,87.26,2.15,122.58,26.12,56.0,622.24,1012.3,0.02,
05/05/2013,18:00,,,3.07,2.99,22.26,26.88,15.0,22.69,4.57,179.77,26.71,77.38,96.14,1086.53,0.03,2.86
09/12/2017,06:00,3.13,1.82,,,,,6.04,9.1,2.88,67.62,24.76,97.62,8.85,1008.16,4.03,
07/05/2018,15:00,1.82,5.76,,,,,9.0,29.1,0.37,82.86,29.12,80.88,345.15,998.87,,
08/10/2018,22:00,4.07,19.27,,,2.89,10.19,48.03,115.28,0.48,62.1,30.04,80.84,7.83,1000.93,0.03,
7/28/2014,18:00,3.5,8.12,1.22,,11.65,,,32.71,2.03,,31.75,62.52,109.16,998.12,,
12/17/2015,22:00,156.21,48.64,3.56,3.55,4.81,22.75,167.44,,1.71,322.77,18.06,75.61,7.15,1013.74,,
11/21/2017,12:00,3.02,5.47,,,,,37.11,,1.07,119.37,26.56,76.83,627.05,1011.48,0.02,
01/06/2013,03:00,63.51,7.54,2.63,3.35,1.38,2.35,272.6,411.09,1.31,194.81,15.09,94.13,7.7,1094.04,0.01,1.22
01/08/2013,05:00,4.55,,1.2,1.7,5.68,3.13,196.74,254.02,2.24,33.06,14.66,82.53,7.69,1094.78,0.01,1.19
11/28/2016,03:00,3.14,8.85,2.5,3.76,0.05,0.34,46.0,81.76,0.89,62.47,19.94,88.3,7.92,1009.54,,
23/05/2019,17:00,3.87,11.67,0.38,0.29,28.49,28.86,10.09,33.35,0.79,63.11,28.75,64.38,288.38,1004.99,0.06,
3/31/2014,17:00,2.38,5.88,1.97,1.98,35.85,30.11,53.79,150.7,5.79,217.75,34.31,31.67,167.2,,0.03,
2/17/2013,20:00,4.85,10.75,1.66,1.61,11.24,18.78,40.24,52.94,3.02,325.13,18.51,91.64,7.15,1093.92,0.25,2.17
03/02/2013,11:00,5.47,8.16,2.21,2.24,33.86,14.27,116.9,215.86,3.41,227.48,26.55,56.37,669.86,1096.79,0.02,1.29
13/02/2017,02:00,8.53,0.11,,5.47,,,,275.94,0.46,87.16,18.46,89.9,7.82,1016.59,,
01/03/2017,02:00,5.36,0.34,,,,,100.82,192.24,0.59,58.13,20.22,73.92,8.48,1011.58,,
11/19/2017,05:00,3.91,4.4,,,,,,,0.44,58.39,23.55,94.91,7.73,1009.07,,
24/03/2019,09:00,4.73,11.86,0.24,0.36,19.15,8.8,43.0,108.9,0.9,66.58,24.93,58.98,465.86,1011.98,0.05,
06/06/2017,19:00,3.77,4.51,,,10.48,20.26,,,0.64,246.89,29.37,71.99,22.35,1001.13,,
12/30/2016,04:00,,11.68,2.99,3.74,,,22.09,56.03,0.65,52.95,17.99,72.98,8.12,1012.95,,
07/10/2017,22:00,4.95,4.03,,,,,25.09,38.52,4.4,50.62,26.22,94.19,7.7,1004.7,,
12/03/2018,12:00,,,,0.26,,,36.97,94.81,0.67,123.45,25.32,61.27,506.18,1014.59,0.02,
08/04/2016,02:00,3.41,8.09,0.86,1.04,4.13,7.7,,13.19,0.55,20.06,27.77,83.82,7.59,999.84,0.02,
08/07/2015,14:00,0.06,7.28,7.72,7.67,0.5,0.16,11.16,28.97,2.37,96.91,29.68,74.06,775.74,1000.5,0.02,
02/03/2017,19:00,5.72,0.28,,5.18,,,,233.97,0.54,39.44,26.23,57.89,8.22,1006.49,,
22/10/2018,16:00,2.99,4.64,,,,,26.91,64.94,1.75,242.29,30.47,58.58,236.86,1008.24,0.04,
13/02/2016,10:00,107.66,18.16,4.87,4.87,0.3,0.44,,,2.67,84.31,21.73,74.5,485.71,1015.04,,
