Date,Time,NO,NO2,CO,CO 8hr,O3,O3 8hr,PM2.5,PM10,Wind Speed,Wind Dir,Temperature,RH,Solar Rad,BP,Rain,V Wind Speed
03/08/2013,24:00:00,24.02,28.22,3.49,2.83,4.8,20.18,204.06,319.97,1.82,244.01,23.63,76.56,7.73,1093.18,0.01,1.15
16/03/2018,08:00,1.99,5.61,,,,,28.24,41.29,3.26,63.5,20.98,86.61,86.22,1008.85,0.03,
08/01/2017,24:00:00,5.02,3.29,,,,,32.0,67.88,3.76,131.83,28.1,91.24,7.62,1002.41,,
11/04/2016,17:00,45.71,7.03,1.98,,3.29,,24.0,76.0,2.64,112.14,23.21,92.12,29.61,1008.89,0.03,
8/16/2017,09:00,4.04,2.11,,,,,19.72,31.53,0.55,110.52,27.32,88.55,95.7,1002.99,,
6/17/2016,20:00,4.73,14.25,1.03,0.85,9.21,16.47,20.16,71.71,3.09,171.66,28.38,81.69,7.09,1001.78,0.92,
04/11/2013,07:00,5.98,9.77,2.82,2.78,9.16,21.74,,,2.04,165.62,23.73,81.5,119.93,1088.81,0.02,1.14
21/06/2019,16:00,2.42,2.66,0.27,0.25,4.01,3.61,9.89,18.92,1.26,357.21,33.03,65.12,609.32,1001.03,0.02,
08/12/2013,20:00,52.57,9.31,3.55,2.25,3.38,5.58,53.06,80.22,0.68,42.89,28.14,90.39,7.29,1083.2,0.05,2.13
6/26/2015,21:00,10.92,10.43,4.98,4.39,,,25.16,59.0,1.99,45.64,28.02,84.78,7.1,995.31,0.02,
03/04/2014,15:00,0.08,7.16,1.71,2.07,28.34,22.54,43.75,100.33,2.9,207.07,30.29,33.51,410.99,,,
5/19/2016,09:00,3.8,11.05,0.33,0.23,29.28,31.37,5.06,15.63,2.51,68.56,23.46,92.74,220.57,1008.33,0.03,
8/18/2014,06:00,2.32,6.08,1.29,1.37,8.78,9.36,7.0,28.0,3.58,149.8,25.12,93.39,10.8,1004.99,1.35,
8/20/2016,18:00,2.82,11.45,1.29,1.18,15.77,18.59,39.06,67.52,0.7,102.87,28.91,82.68,21.71,998.83,,
12/08/2012,16:00,,2.67,5.76,5.89,4.91,3.14,81.97,132.05,2.87,311.09,24.98,66.3,141.17,,0.02,1.33
28/01/2016,04:00,72.19,16.46,4.5,4.51,0.48,0.52,,,2.18,52.44,14.26,73.45,7.2,1013.43,,
05/02/2018,16:00,2.4,4.85,,,,,8.91,30.97,1.23,95.94,27.45,65.72,433.05,1006.19,,
9/23/2016,16:00,2.22,5.54,1.44,1.48,20.82,12.85,,20.09,0.75,38.49,32.25,63.65,374.12,1002.82,0.04,
09/11/2016,06:00,2.44,7.4,1.3,1.48,5.23,3.37,,,0.5,20.22,25.21,97.54,8.26,1004.71,1.03,
12/29/2017,16:00,2.86,5.49,,,,,13.22,59.57,0.61,112.16,27.41,43.64,205.26,1012.66,,
05/03/2017,11:00,2.96,3.77,,,40.56,18.63,20.0,63.16,4.35,100.21,16.19,60.25,881.5,1011.04,0.02,
03/02/2018,18:00,2.47,12.03,,,,,150.0,,0.49,266.0,22.07,75.79,20.35,1010.48,,
6/26/2016,18:00,3.79,10.01,1.03,0.97,31.72,23.62,,,1.83,249.21,34.01,64.78,171.93,999.39,,
